Ref,Original ref,Date,IP,Update type,Technical cookies,Statistics cookies,Profiling cookies
1593635770067,1593635763586,2020-07-01 20:36:11,5.90.131.249,Cancel BUTTON,1,0,0
1593644550774,1593644547498,2020-07-01 23:02:31,201.52.192.110,ACCEPT BUTTON,1,1,1
1593646450305,1593646447122,2020-07-01 23:34:10,201.52.192.110,ACCEPT BUTTON,1,1,1
1593677542335,1593677534106,2020-07-02 08:12:22,88.21.52.166,ACCEPT BUTTON,1,1,1
1593684849423,1593684843858,2020-07-02 10:14:10,151.36.156.38,ACCEPT BUTTON,1,1,1
1593686576389,1593686574374,2020-07-02 10:42:56,95.235.93.183,ACCEPT BUTTON,1,1,1
1593688317655,1593688315493,2020-07-02 11:11:52,151.61.44.60,ACCEPT BUTTON,1,1,1
1593697966438,1593697961874,2020-07-02 13:52:46,91.64.134.52,ACCEPT BUTTON,1,1,1
1593719246640,1593719241427,2020-07-02 19:47:27,188.152.86.244,ACCEPT BUTTON,1,1,1
1593723615589,1593723610013,2020-07-02 21:00:16,93.47.231.77,ACCEPT BUTTON,1,1,1
1593769677757,1593769674915,2020-07-03 09:47:58,213.198.82.120,ACCEPT BUTTON,1,1,1
1593772335978,1593772303095,2020-07-03 10:32:20,86.225.75.91,ACCEPT BUTTON,1,1,1
1593789511681,1593789500420,2020-07-03 15:18:31,69.120.85.235,ACCEPT BUTTON,1,1,1
1593797619445,1593797616633,2020-07-03 17:33:41,47.53.53.18,ACCEPT BUTTON,1,1,1
1593802723536,1593802721052,2020-07-03 18:58:44,93.36.57.201,ACCEPT BUTTON,1,1,1
1593803967022,1593803960588,2020-07-03 19:19:28,93.48.251.62,ACCEPT BUTTON,1,1,1
1593803971174,1593803968824,2020-07-03 19:19:31,2.227.29.172,ACCEPT BUTTON,1,1,1
1593804986216,1593804984626,2020-07-03 19:36:26,79.23.43.80,ACCEPT BUTTON,1,1,1
1593810838109,1593810646874,2020-07-03 21:13:59,151.63.176.95,ACCEPT BUTTON,1,1,1
1593814605119,1593814595809,2020-07-03 22:16:47,79.53.93.64,Cancel BUTTON,1,0,0
1593816195959,1593816111191,2020-07-03 22:43:16,151.76.113.158,Cancel BUTTON,1,0,0
1593820384144,1593820380462,2020-07-03 23:53:04,151.82.200.39,ACCEPT BUTTON,1,1,1
1593821395470,1593821391630,2020-07-04 00:09:55,5.90.144.160,ACCEPT BUTTON,1,1,1
1593861681280,1593861675951,2020-07-04 11:21:22,93.147.239.247,Cancel BUTTON,1,0,0
1593865986660,1593865985368,2020-07-04 12:33:07,176.200.166.87,ACCEPT BUTTON,1,1,1
1593870512320,1593870503349,2020-07-04 13:48:32,79.22.166.36,ACCEPT BUTTON,1,1,1
1593881213188,1593881210156,2020-07-04 16:46:54,93.67.70.180,ACCEPT BUTTON,1,1,1
1593927445444,1593927429888,2020-07-05 05:37:27,189.218.239.113,Cancel BUTTON,1,0,0
1593950094459,1593950086797,2020-07-05 11:54:56,93.44.186.1,ACCEPT BUTTON,1,1,1
1593950120287,1593950113831,2020-07-05 11:55:22,93.44.186.1,ACCEPT BUTTON,1,1,1
1593961698009,1593961691684,2020-07-05 15:08:19,79.24.164.170,ACCEPT BUTTON,1,1,1
1593970457535,1593970454884,2020-07-05 17:34:18,93.42.89.200,Cancel BUTTON,1,0,0
1593986867660,1593986861689,2020-07-05 22:07:48,109.118.80.177,ACCEPT BUTTON,1,1,1
1594035342819,1594035339599,2020-07-06 11:35:43,37.159.41.155,ACCEPT BUTTON,1,1,1
1594143021937,1594142998687,2020-07-07 17:30:23,47.149.53.87,ACCEPT BUTTON,1,1,1
1594157847742,1594157840382,2020-07-07 21:37:28,94.133.175.228,Cancel BUTTON,1,0,0
1594168793379,1594168779793,2020-07-08 00:39:53,172.58.21.182,ACCEPT BUTTON,1,1,1
1594203365097,1594203362771,2020-07-08 10:16:06,95.74.110.68,ACCEPT BUTTON,1,1,1
1594223130159,1594223124366,2020-07-08 15:45:29,83.165.98.66,ACCEPT BUTTON,1,1,1
1594228977775,1594228974192,2020-07-08 17:23:01,93.34.135.150,Cancel BUTTON,1,0,0
1594241485131,1594241483346,2020-07-08 20:51:23,79.32.120.216,ACCEPT BUTTON,1,1,1
1594243415276,1594243411697,2020-07-08 21:23:37,185.63.101.165,ACCEPT BUTTON,1,1,1
1594279612693,1594279610781,2020-07-09 07:26:53,5.95.161.225,ACCEPT BUTTON,1,1,1
1594291103746,1594291088672,2020-07-09 10:38:24,1.75.248.87,ACCEPT BUTTON,1,1,1
1594301310463,1594301294646,2020-07-09 13:28:41,153.186.227.96,Cancel BUTTON,1,0,0
1594325127551,1594325117921,2020-07-09 20:05:31,93.40.213.179,Cancel BUTTON,1,0,0
1594327413631,1594327375166,2020-07-09 20:43:35,87.19.2.99,ACCEPT BUTTON,1,1,1
1594329179376,1594329175900,2020-07-09 21:12:58,2.34.128.161,Cancel BUTTON,1,0,0
1594332589079,1594332505123,2020-07-09 22:09:53,146.241.141.35,ACCEPT BUTTON,1,1,1
1594348579637,1594348559769,2020-07-10 02:36:20,189.219.77.74,ACCEPT BUTTON,1,1,1
1594358699123,1594358696960,2020-07-10 05:24:59,93.37.142.110,ACCEPT BUTTON,1,1,1
1594377850859,1594377609815,2020-07-10 10:44:12,151.76.207.194,ACCEPT BUTTON,1,1,1
1594478122145,1594478119085,2020-07-11 14:35:22,5.90.192.90,ACCEPT BUTTON,1,1,1
1594546315492,1594546313688,2020-07-12 09:31:56,93.34.125.255,ACCEPT BUTTON,1,1,1
1594621869772,1594621867019,2020-07-13 06:29:52,94.36.109.188,ACCEPT BUTTON,1,1,1
1594632922387,1594632918875,2020-07-13 09:35:22,213.205.198.51,ACCEPT BUTTON,1,1,1
1594671527758,1594671522491,2020-07-13 20:18:48,47.14.245.54,ACCEPT BUTTON,1,1,1
1594715357332,1594715355375,2020-07-14 08:29:17,176.200.80.206,ACCEPT BUTTON,1,1,1
1594748736436,1594748632837,2020-07-14 17:45:36,93.144.71.131,ACCEPT BUTTON,1,1,1
1594795254649,1594795250016,2020-07-15 06:40:56,83.211.188.177,ACCEPT BUTTON,1,1,1
1594807005189,1594807003840,2020-07-15 09:56:45,93.67.79.214,ACCEPT BUTTON,1,1,1
1594818066155,1594818060756,2020-07-15 13:01:06,80.82.11.119,ACCEPT BUTTON,1,1,1
1594818636065,1594818631128,2020-07-15 13:10:36,109.175.223.170,ACCEPT BUTTON,1,1,1
1594825934000,1594825931577,2020-07-15 15:12:13,109.175.223.170,ACCEPT BUTTON,1,1,1
1594829063390,1594829059408,2020-07-15 16:04:23,87.16.186.151,ACCEPT BUTTON,1,1,1
1594832456807,1594832455660,2020-07-15 17:00:57,93.47.229.182,ACCEPT BUTTON,1,1,1
1594844358458,1594844352320,2020-07-15 20:19:18,172.58.220.129,ACCEPT BUTTON,1,1,1
1594862332426,1594862328374,2020-07-16 01:18:53,151.210.144.215,ACCEPT BUTTON,1,1,1
1594871057955,1594871054622,2020-07-16 03:49:48,122.56.199.161,ACCEPT BUTTON,1,1,1
1594877987215,1594877983323,2020-07-16 05:39:47,103.29.31.90,ACCEPT BUTTON,1,1,1
1594882124837,1594882122226,2020-07-16 06:48:45,150.107.174.180,ACCEPT BUTTON,1,1,1
1594884829331,1594884826192,2020-07-16 07:33:48,93.144.230.246,ACCEPT BUTTON,1,1,1
1594904876226,1594904867232,2020-07-16 13:07:56,73.100.208.28,ACCEPT BUTTON,1,1,1
1594907037414,1594907033204,2020-07-16 13:43:59,68.32.79.109,ACCEPT BUTTON,1,1,1
1594908344107,1594908342690,2020-07-16 14:05:45,37.162.174.114,ACCEPT BUTTON,1,1,1
1594908355063,1594908340165,2020-07-16 14:05:56,100.10.9.50,ACCEPT BUTTON,1,1,1
1594909687609,1594909672612,2020-07-16 14:28:08,47.14.245.54,ACCEPT BUTTON,1,1,1
1594910818511,1594910806879,2020-07-16 14:47:05,107.126.97.29,Cancel BUTTON,1,0,0
1594913921146,1594913913854,2020-07-16 15:38:43,95.238.134.108,ACCEPT BUTTON,1,1,1
1594915684809,1594915681297,2020-07-16 16:08:06,151.19.195.6,Cancel BUTTON,1,0,0
1594919835420,1594919760840,2020-07-16 17:17:16,93.146.186.189,ACCEPT BUTTON,1,1,1
1594925503384,1594925496959,2020-07-16 18:51:43,95.225.114.132,Cancel BUTTON,1,0,0
1594927416694,1594906360404,2020-07-16 19:23:39,68.187.226.250,Cancel BUTTON,1,0,0
1594928655696,1594928654347,2020-07-16 19:44:17,79.49.19.31,ACCEPT BUTTON,1,1,1
1594929465203,1594929449195,2020-07-16 19:57:43,71.10.246.42,ACCEPT BUTTON,1,1,1
1594930048374,1594930038844,2020-07-16 20:07:28,62.11.2.236,Cancel BUTTON,1,0,0
1594934661188,1594934656848,2020-07-16 21:24:22,95.243.73.147,ACCEPT BUTTON,1,1,1
1594939954028,1594939949604,2020-07-16 22:52:34,73.38.219.98,ACCEPT BUTTON,1,1,1
1594940712162,1594940696732,2020-07-16 23:05:12,115.188.217.40,ACCEPT BUTTON,1,1,1
1594941085646,1594941051743,2020-07-16 23:11:29,66.189.52.46,ACCEPT BUTTON,1,1,1
1594942965227,1594942940522,2020-07-16 23:42:50,122.61.198.75,ACCEPT BUTTON,1,1,1
1594944394400,1594944391030,2020-07-17 00:06:35,24.177.58.33,ACCEPT BUTTON,1,1,1
1594945590353,1594945584235,2020-07-17 00:26:31,73.126.188.68,ACCEPT BUTTON,1,1,1
1594946836436,1594946808542,2020-07-17 00:47:17,5.156.219.156,ACCEPT BUTTON,1,1,1
1594947059703,1594947054498,2020-07-17 00:51:00,66.31.152.121,ACCEPT BUTTON,1,1,1
1594947379539,1594947372741,2020-07-17 00:56:21,107.242.125.63,ACCEPT BUTTON,1,1,1
1594947785239,1594947718480,2020-07-17 01:03:05,97.97.28.217,ACCEPT BUTTON,1,1,1
1594951532527,1594951529732,2020-07-17 02:05:32,37.163.166.224,ACCEPT BUTTON,1,1,1
1594954433380,1594954426458,2020-07-17 02:53:53,79.53.26.150,ACCEPT BUTTON,1,1,1
1594955609706,1594955601810,2020-07-17 03:13:30,76.175.15.23,ACCEPT BUTTON,1,1,1
1594963203768,1594963187858,2020-07-17 05:20:04,95.251.120.28,ACCEPT BUTTON,1,1,1
1594967545630,1594967535194,2020-07-17 06:32:26,118.93.23.81,ACCEPT BUTTON,1,1,1
1594967984966,1594967983218,2020-07-17 06:39:45,118.93.23.81,ACCEPT BUTTON,1,1,1
1594968472575,1594968470844,2020-07-17 06:47:53,118.93.23.81,ACCEPT BUTTON,1,1,1
1594978013910,1594977997450,2020-07-17 09:26:54,5.90.142.192,Cancel BUTTON,1,0,0
1594978420469,1594978413011,2020-07-17 09:33:39,79.9.177.100,ACCEPT BUTTON,1,1,1
1594979600214,1594979564283,2020-07-17 09:53:22,82.53.153.24,ACCEPT BUTTON,1,1,1
1594981613981,1594981601153,2020-07-17 10:26:55,193.207.211.87,Cancel BUTTON,1,0,0
1594982204143,1594982180970,2020-07-17 10:36:44,71.233.68.38,ACCEPT BUTTON,1,1,1
1594983158852,1594983153680,2020-07-17 10:52:40,98.216.217.63,ACCEPT BUTTON,1,1,1
1594985179807,1594985165451,2020-07-17 11:26:21,93.40.226.250,ACCEPT BUTTON,1,1,1
1594988730602,1594988718176,2020-07-17 12:25:30,151.43.221.203,Cancel BUTTON,1,0,0
1594990147493,1594990111091,2020-07-17 12:49:08,87.20.193.181,ACCEPT BUTTON,1,1,1
1594996560340,1594996555149,2020-07-17 14:36:01,151.40.73.70,ACCEPT BUTTON,1,1,1
1594997495061,1594997488995,2020-07-17 14:51:34,151.44.222.208,ACCEPT BUTTON,1,1,1
1594997704437,1594997697220,2020-07-17 14:55:04,5.169.241.204,ACCEPT BUTTON,1,1,1
1594997783905,1594997769379,2020-07-17 14:56:25,47.53.218.190,ACCEPT BUTTON,1,1,1
1594998195015,1594998192116,2020-07-17 15:03:14,151.25.88.165,ACCEPT BUTTON,1,1,1
1595000074669,1595000073257,2020-07-17 15:31:23,82.53.67.77,ACCEPT BUTTON,1,1,1
1595004848672,1595004842798,2020-07-17 16:54:09,47.14.150.53,ACCEPT BUTTON,1,1,1
1595005696144,1595005693600,2020-07-17 17:08:17,79.239.101.75,Cancel BUTTON,1,0,0
1595007672751,1595007671159,2020-07-17 17:41:14,80.116.181.244,ACCEPT BUTTON,1,1,1
1595021529939,1595021528308,2020-07-17 21:31:22,79.33.129.116,ACCEPT BUTTON,1,1,1
1595022752022,1595022750462,2020-07-17 21:52:33,79.12.25.202,ACCEPT BUTTON,1,1,1
1595031371599,1595031346260,2020-07-17 22:03:14,93.40.202.223,Cancel BUTTON,1,0,0
1595027573685,1595027567321,2020-07-17 23:12:54,122.61.198.75,Cancel BUTTON,1,0,0
1595033437299,1595033428338,2020-07-18 00:50:38,173.48.43.54,ACCEPT BUTTON,1,1,1
1595036759651,1595036747525,2020-07-18 01:46:01,115.189.95.66,ACCEPT BUTTON,1,1,1
1595045818317,1595045814208,2020-07-18 04:17:00,82.57.168.195,ACCEPT BUTTON,1,1,1
1595048203977,1595048202043,2020-07-18 04:59:18,151.40.155.151,ACCEPT BUTTON,1,1,1
1595054668747,1595054666312,2020-07-18 06:44:30,122.61.198.75,ACCEPT BUTTON,1,1,1
1595057527352,1595057525760,2020-07-18 07:32:07,95.247.222.219,ACCEPT BUTTON,1,1,1
1595061646303,1595061639344,2020-07-18 08:40:45,109.116.42.74,ACCEPT BUTTON,1,1,1
1595062820023,1595062819075,2020-07-18 09:00:20,176.201.197.24,ACCEPT BUTTON,1,1,1
1595069133964,1595069131679,2020-07-18 10:45:34,151.37.132.192,Cancel BUTTON,1,0,0
1595077030429,1595077026343,2020-07-18 12:57:10,95.252.214.110,ACCEPT BUTTON,1,1,1
1595078565789,1595078556667,2020-07-18 13:22:46,87.10.233.194,Cancel BUTTON,1,0,0
1595078876166,1595078873521,2020-07-18 13:27:56,79.54.179.182,ACCEPT BUTTON,1,1,1
1595080505625,1595080500834,2020-07-18 13:55:06,217.27.82.7,ACCEPT BUTTON,1,1,1
1595081491440,1595081488281,2020-07-18 14:11:32,93.71.211.193,ACCEPT BUTTON,1,1,1
1595086075079,1595086070546,2020-07-18 15:27:56,5.91.118.113,Cancel BUTTON,1,0,0
1595086539656,1595086537283,2020-07-18 15:35:30,37.161.203.221,ACCEPT BUTTON,1,1,1
1595094078274,1595094074911,2020-07-18 17:41:18,82.61.117.173,Cancel BUTTON,1,0,0
1595109951372,1595109949894,2020-07-18 22:05:51,142.255.35.211,Cancel BUTTON,1,0,0
1595120568640,1595120552919,2020-07-19 01:02:49,185.3.87.224,Cancel BUTTON,1,0,0
1595138934248,1595138928176,2020-07-19 06:08:57,82.52.78.142,ACCEPT BUTTON,1,1,1
1595139721554,1595139714781,2020-07-19 06:22:02,151.15.90.65,Cancel BUTTON,1,0,0
1595142534277,1595142527027,2020-07-19 07:09:52,93.33.31.164,ACCEPT BUTTON,1,1,1
1595146841015,1595145506152,2020-07-19 08:20:41,84.221.210.110,ACCEPT BUTTON,1,1,1
1595149070045,1595149063751,2020-07-19 08:57:50,5.179.181.19,ACCEPT BUTTON,1,1,1
1595152333708,1595152329307,2020-07-19 09:52:14,185.154.238.12,ACCEPT BUTTON,1,1,1
1595153116178,1595153110754,2020-07-19 10:05:17,95.250.7.82,ACCEPT BUTTON,1,1,1
1595156469242,1595156465669,2020-07-19 11:01:09,78.29.174.172,ACCEPT BUTTON,1,1,1
1595167322658,1595167318730,2020-07-19 14:02:03,151.46.58.60,ACCEPT BUTTON,1,1,1
1595168612828,1595168598813,2020-07-19 14:23:34,79.16.61.97,ACCEPT BUTTON,1,1,1
1595169052836,1595169049291,2020-07-19 14:30:53,151.18.198.244,Cancel BUTTON,1,0,0
1595172275621,1595172268996,2020-07-19 15:24:36,5.90.144.246,ACCEPT BUTTON,1,1,1
1595172513588,1595172508197,2020-07-19 15:28:32,95.235.24.232,ACCEPT BUTTON,1,1,1
1595173540750,1595173538020,2020-07-19 15:45:42,94.35.71.220,Cancel BUTTON,1,0,0
1595177553167,1595177521617,2020-07-19 16:52:34,37.179.97.209,ACCEPT BUTTON,1,1,1
1595179508760,1595179503919,2020-07-19 17:25:09,180.60.57.131,ACCEPT BUTTON,1,1,1
1595179716268,1595179711231,2020-07-19 17:28:36,37.183.43.227,ACCEPT BUTTON,1,1,1
1595181083196,1595181078173,2020-07-19 17:51:24,93.41.43.243,ACCEPT BUTTON,1,1,1
1595183102648,1595183095500,2020-07-19 18:25:04,37.161.151.109,Cancel BUTTON,1,0,0
1595184565088,1595184560833,2020-07-19 18:49:25,213.45.103.224,ACCEPT BUTTON,1,1,1
1595184605407,1595184601363,2020-07-19 18:50:08,79.13.128.32,ACCEPT BUTTON,1,1,1
1595186174019,1595186169366,2020-07-19 19:16:15,5.179.143.113,Cancel BUTTON,1,0,0
1595188191108,1595188178296,2020-07-19 19:49:51,82.50.177.193,Cancel BUTTON,1,0,0
1595188410322,1595188402752,2020-07-19 19:53:31,93.35.222.24,Cancel BUTTON,1,0,0
1595199125466,1595199114992,2020-07-19 22:52:07,75.143.32.136,Cancel BUTTON,1,0,0
1595204227876,1595204222001,2020-07-20 00:17:09,108.60.61.22,Cancel BUTTON,1,0,0
1595204851201,1595204848612,2020-07-20 00:27:31,75.143.32.136,ACCEPT BUTTON,1,1,1
1595228099052,1595228094958,2020-07-20 06:56:28,5.90.72.131,Cancel BUTTON,1,0,0
1595237511831,1595237505474,2020-07-20 09:31:54,188.217.60.195,ACCEPT BUTTON,1,1,1
1595239606362,1595239594017,2020-07-20 10:06:47,174.62.122.113,ACCEPT BUTTON,1,1,1
1595242292777,1595242291008,2020-07-20 10:51:33,94.35.33.77,ACCEPT BUTTON,1,1,1
1595247139470,1595247122910,2020-07-20 12:12:19,5.90.124.230,ACCEPT BUTTON,1,1,1
1595247236866,1595247234915,2020-07-20 12:13:56,169.252.4.21,ACCEPT BUTTON,1,1,1
1595250625049,1595250621459,2020-07-20 13:10:24,93.47.230.230,ACCEPT BUTTON,1,1,1
1595250881694,1595250857126,2020-07-20 13:14:41,151.43.222.131,ACCEPT BUTTON,1,1,1
1595253269954,1595253265997,2020-07-20 13:54:30,93.67.68.180,ACCEPT BUTTON,1,1,1
1595254772726,1595254771242,2020-07-20 14:19:33,87.15.42.125,ACCEPT BUTTON,1,1,1
1595259570547,1595259560963,2020-07-20 15:39:30,151.38.73.173,ACCEPT BUTTON,1,1,1
1595260608992,1595260606831,2020-07-20 15:48:08,87.4.26.153,ACCEPT BUTTON,1,1,1
1595260606231,1595260604259,2020-07-20 15:56:45,93.67.68.180,ACCEPT BUTTON,1,1,1
1595262963034,1595262961291,2020-07-20 16:36:03,87.6.40.160,ACCEPT BUTTON,1,1,1
1595263109772,1595263107972,2020-07-20 16:38:30,151.37.152.213,Cancel BUTTON,1,0,0
1595273495535,1595273493555,2020-07-20 19:31:36,151.35.211.116,ACCEPT BUTTON,1,1,1
1595278158549,1595278155622,2020-07-20 20:49:22,82.56.178.138,Cancel BUTTON,1,0,0
1595286216511,1595286213105,2020-07-20 23:03:37,151.37.136.159,Cancel BUTTON,1,0,0
1595302798242,1595302796015,2020-07-21 03:39:59,5.90.238.74,ACCEPT BUTTON,1,1,1
1595307301538,1595307294293,2020-07-21 04:55:02,5.90.137.71,ACCEPT BUTTON,1,1,1
1595310983806,1595310978057,2020-07-21 05:56:26,5.90.243.88,Cancel BUTTON,1,0,0
1595315745215,1595315737297,2020-07-21 07:15:46,185.169.177.42,ACCEPT BUTTON,1,1,1
1595321159911,1595321151628,2020-07-21 08:46:02,37.163.216.202,ACCEPT BUTTON,1,1,1
1595385266247,1595385222935,2020-07-22 02:34:27,200.68.141.36,Cancel BUTTON,1,0,0
1595416372123,1595416368862,2020-07-22 11:12:52,151.41.96.95,ACCEPT BUTTON,1,1,1
1595421768573,1595421765093,2020-07-22 12:42:47,79.23.56.3,ACCEPT BUTTON,1,1,1
1595426847637,1595426846388,2020-07-22 14:07:29,79.1.76.240,ACCEPT BUTTON,1,1,1
1595451581031,1595451536386,2020-07-22 20:59:41,84.121.104.164,ACCEPT BUTTON,1,1,1
1595458297413,1595458286383,2020-07-22 22:51:37,93.47.230.207,ACCEPT BUTTON,1,1,1
1595487916932,1595487914372,2020-07-23 07:05:17,93.64.172.130,ACCEPT BUTTON,1,1,1
1595490062198,1595490026722,2020-07-23 07:41:02,151.52.204.228,ACCEPT BUTTON,1,1,1
1595519945118,1595519941231,2020-07-23 15:59:05,95.239.48.151,ACCEPT BUTTON,1,1,1
1595538476352,1595538474650,2020-07-23 21:07:57,37.160.250.215,ACCEPT BUTTON,1,1,1
1595578472492,1595578470165,2020-07-24 08:14:35,185.30.65.110,ACCEPT BUTTON,1,1,1
1595588505586,1595588503557,2020-07-24 11:01:46,79.6.135.173,ACCEPT BUTTON,1,1,1
1595597258796,1595597254755,2020-07-24 13:26:54,5.90.45.183,ACCEPT BUTTON,1,1,1
1595597914858,1595597908549,2020-07-24 13:38:35,188.218.223.66,Cancel BUTTON,1,0,0
1595600281888,1595600274749,2020-07-24 14:18:03,2.225.248.169,Cancel BUTTON,1,0,0
1595618327687,1595618323301,2020-07-24 19:18:48,79.27.85.202,ACCEPT BUTTON,1,1,1
1595700045070,1595700043804,2020-07-25 18:00:45,176.251.21.213,ACCEPT BUTTON,1,1,1
1595706958152,1595706956291,2020-07-25 19:56:00,181.167.125.30,ACCEPT BUTTON,1,1,1
1595832840781,1595832837849,2020-07-27 06:54:03,151.63.36.163,ACCEPT BUTTON,1,1,1
1595846556502,1595846554606,2020-07-27 10:42:37,188.217.10.18,ACCEPT BUTTON,1,1,1
1595863533829,1595863529709,2020-07-27 15:25:34,93.41.113.35,Cancel BUTTON,1,0,0
1595879810426,1595879808218,2020-07-27 19:56:50,100.0.121.211,ACCEPT BUTTON,1,1,1
1595884119099,1595884117798,2020-07-27 21:08:41,37.161.186.227,ACCEPT BUTTON,1,1,1
1595931647462,1595931644444,2020-07-28 10:20:47,151.41.96.95,ACCEPT BUTTON,1,1,1
1595931767036,1595931756340,2020-07-28 10:22:44,151.41.96.95,ACCEPT BUTTON,1,1,1
1595943623586,1595943619802,2020-07-28 13:40:25,71.232.216.121,ACCEPT BUTTON,1,1,1
1595950721903,1595950716804,2020-07-28 15:38:42,188.247.75.162,ACCEPT BUTTON,1,1,1
1595950845267,1595950842939,2020-07-28 15:39:08,94.36.120.109,ACCEPT BUTTON,1,1,1
1595951708126,1595951700008,2020-07-28 15:55:08,95.248.247.187,ACCEPT BUTTON,1,1,1
1595953454250,1595953450790,2020-07-28 16:24:16,151.40.214.0,ACCEPT BUTTON,1,1,1
1595954433455,1595954430224,2020-07-28 16:40:34,108.49.238.230,ACCEPT BUTTON,1,1,1
1595956422856,1595956418835,2020-07-28 17:13:43,172.58.220.236,ACCEPT BUTTON,1,1,1
1596005441591,1596005437052,2020-07-29 06:50:42,92.223.231.179,ACCEPT BUTTON,1,1,1
1596016707687,1596016706233,2020-07-29 09:56:50,82.84.84.98,ACCEPT BUTTON,1,1,1
1596029402080,1596029399569,2020-07-29 13:30:02,2.37.149.116,ACCEPT BUTTON,1,1,1
1596031325449,1596031305862,2020-07-29 14:02:05,151.57.133.84,Cancel BUTTON,1,0,0
1596032142928,1596032136703,2020-07-29 14:11:42,94.83.30.142,Cancel BUTTON,1,0,0
1596043705362,1596043699844,2020-07-29 17:28:25,92.245.173.65,ACCEPT BUTTON,1,1,1
1596097960537,1596097950812,2020-07-30 08:32:42,103.88.216.11,ACCEPT BUTTON,1,1,1
1596127338714,1596127335250,2020-07-30 16:42:19,151.41.96.95,ACCEPT BUTTON,1,1,1
1596148634842,1596148614631,2020-07-30 22:37:16,73.61.77.200,ACCEPT BUTTON,1,1,1
1596165494057,1596165491692,2020-07-31 03:18:14,78.13.106.58,ACCEPT BUTTON,1,1,1
1596186915429,1596186912928,2020-07-31 09:15:17,93.44.185.135,ACCEPT BUTTON,1,1,1
1596188910531,1596188908972,2020-07-31 09:48:32,93.44.185.135,ACCEPT BUTTON,1,1,1
1596194374181,1596194341165,2020-07-31 11:19:34,95.74.103.230,ACCEPT BUTTON,1,1,1
1596211583464,1596211581119,2020-07-31 16:06:23,5.170.241.8,ACCEPT BUTTON,1,1,1
1596221253921,1596221251054,2020-07-31 18:47:34,88.18.227.120,ACCEPT BUTTON,1,1,1
1596225345681,1596225343120,2020-07-31 19:55:46,151.63.63.6,ACCEPT BUTTON,1,1,1